   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073198084   1.6890425497   0.0019905018   0.0221019226   0.0001000000              0
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904171   0.0221009879   1.5821259571              0
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904160   0.0221009758   0.0003980078              0
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904095   0.0221009034   0.0998752540              0
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073198084   1.6990525543   0.0019876466   0.0220704214   0.0003980078              0
