   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
  -7.4309061426  -1.3796634304   6.3304791647  -2.5647981503   6.7981801509  -6.0345480463  -7.4103628046   2.4805469799   1.7585546826  -5.8937570985  -0.5822629084  -5.8567795668 348.2189198766  37.9299567358  50.0000000000          48993
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7918915625   1.6073198084   1.6890425497   0.0019917716   0.0221159318  25.0624898820          48987
   1.9547004673   1.8128652461   2.3311777312   2.2396142626   1.8149227986   1.9590098833   1.6131503351  -7.6035402777   3.9565762256   6.4781639861   1.6065950159   1.3763517962  11.5007450298   9.7988676927  12.5625679817          48872
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904106   0.0221009156   6.2969846586          48977
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904171   0.0221009879   3.1563622859          48965
   5.8177182566   1.6837222388   1.9673807602  -6.7680786114  -1.1830944528   4.5343109688   9.0115486986  -7.2168849240   2.3649258831   3.4066649322  -5.6612393654   7.3626468994  12.4133200110  10.1700822900   1.5821259571          48981
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019916878   0.0221150071   0.7930403158          48974
   1.9650382975   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073198084   1.6890425497   0.0019905150   0.0221020674   0.3975112978          48990
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904095   0.0221009034   0.1992524576          48948
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7918915625   1.6073198084   1.6890425497   0.0019917651   0.0221158595   0.0998752540          48928
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904171   0.0221009879   0.0500624509          48933
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904106   0.0221009156   0.0250937934          48805
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904171   0.0221009879   0.0125782589          48906
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904095   0.0221009034   0.0125782589          49829
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904095   0.0221009034   0.0015841021          49891
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7918915625   1.6073579554   1.6890425497   0.0019916877   0.0221150063   0.0015841021          48789
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073198084   1.6990525543   0.0019876466   0.0220704214   0.0007940308          48897
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073579554   1.6890425497   0.0019904160   0.0221009758   0.0003980078          49924
   1.9650382975   1.8037099721   2.3311681945   2.2298486370   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918927545   1.6073579554   1.6890425497   0.0019904171   0.0221009879   0.0001995013          49928
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5704677445   1.7918951387   1.6073198084   1.6890425497   0.0019905018   0.0221019226   0.0001000000          48899
