   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   4.4951840934   1.5696210605  -7.6688324016   1.7219264342   0.4287761705   1.9576401685   1.7459232656   3.7126740046   3.3176906894   1.2352675936   1.5800065744   1.6841883471  19.7953972660  12.6931205550  50.0000000000          49862
   1.9656677226   1.8037099721   2.3311681945   2.2292812007   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020032801   0.0222428983  25.0624898820          49840
   2.1219177319   1.8037099721   4.8311683435   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141862639   1.6841692736   2.4337104445   4.5742964273  12.5625679817          49885
  -0.9734839781   7.7260027961   7.5104700035   2.6512868793   1.6112775571  -7.5446806875   8.2251297370  -8.1457589952  -4.6754249737  -7.7940856096   7.8200303209   8.6387454652  21.8656145983  13.2879042772   6.2969846586          49854
   1.9656677226   1.8037099721   2.3311681945   2.2299502466   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918668767   1.6141838797   1.6841692736   0.0020039092   0.0222498378   3.1563622859          49891
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918701048   1.6141838797   1.6841692736   0.0020038097   0.0222487406   1.5821259571          49830
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918891783   1.6141838797   1.6841692736   0.0020038066   0.0222487057   0.7930403158          49871
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141862639   1.6841692736   0.0020038021   0.0222486561   0.3975112978          49884
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020038035   0.0222486721   0.1992524576          49867
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020038035   0.0222486721   0.0998752540          49856
   1.9656677226   1.8037099721   2.3311681945   2.2292812007   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918891783   1.6141838797   1.6841692736   0.0020032832   0.0222429318   0.0500624509          49888
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9649643877   1.7862064711   2.3866946928   2.5753505573   1.7918701048   1.6141838797   1.6841692736   0.0020039923   0.0222507551   0.0250937934          49732
   1.9656677226   1.8037099721   2.3309214312   2.2298534053   1.6989941418   1.9649381617   1.7862064711   2.3866946928   2.5753505573   1.7918891783   1.6141838797   1.6841692736   0.0020038546   0.0222492362   0.0125782589          49845
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652504900   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020038144   0.0222487920   0.0125782589          49870
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141862639   1.6841692736   0.0020038021   0.0222486561   0.0015841021          49795
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020038035   0.0222486721   0.0015841021          49821
   1.9656677226   1.8037099721   2.3311681945   2.2292812007   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918891783   1.6141838797   1.6841692736   0.0020032832   0.0222429318   0.0007940308          49922
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7918701048   1.6141838797   1.6841692736   0.0020038097   0.0222487406   0.0003980078          49458
   1.9656677226   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9649643877   1.7862064711   2.3866946928   2.5753505573   1.7918891783   1.6141838797   1.6841692736   0.0020039892   0.0222507202   0.0001995013          49708
   1.9656677226   1.8037099721   2.3311681945   2.2292812007   1.6989941418   1.9652695635   1.7862064711   2.3866946928   2.5753505573   1.7919082518   1.6141838797   1.6841692736   0.0020032801   0.0222428983   0.0001000000          49890
