   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]          Value        Fitness    Temperature     Generation
  -7.9800306547   2.3326547344   0.6784516977   0.7302660185   7.2809325028   1.8801612783   1.8826563288   2.1094126767   5.9939453598   1.5311736781   4.1878196113  -6.1326131900  87.6945077449  23.7057076256  50.0000000000         484356
  -2.0439012077  -7.6719592614   8.8539838108  -6.6277025120  -7.8271459238   2.8591330564   7.6219306959   9.2525136025   7.0261941568   1.4698059243   1.7681951385   2.0292253512 279.7513651433  35.4152056003  25.0624898820         484297
   8.3391939604  -6.9933090802  -3.8292142051  -4.9687346797   8.4301244277   5.0337764641   3.4498222738  -1.9123024888   3.3643921235   3.0769487069  -2.5418944682   6.6891918593  14.0095667039  10.7819794574   6.2969846586         484343
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998450279   2.0003325939   2.0006783009   1.9997782707   1.9997401237   1.9998068809   0.0000000308   0.0000003443   0.0003980078         484357
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003747614   1.9997782707   1.9997401237   1.9998003356   0.0000000013   0.0000000145   0.0003980078         484335
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998450279   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000145   0.0003980078         484351
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998450279   2.0003314018   2.0003767014   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000145   0.3975112978         484355
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.3975112978         484359
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.1992524576         499867
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0998752540         484318
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003743172   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000145   0.0500624509         484304
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998450279   2.0003325939   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000145   0.0250937934         484274
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003325939   2.0003743172   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0125782589         499930
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003325939   2.0003743172   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0063048497         484191
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998450279   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000145   0.0031603046         484348
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0015841021         499633
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0007940308         484320
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0003980078         484018
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0001995013         499966
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998462200   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0001000000         499861
