   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9651133993   1.8037123563   7.3297952014   2.2274119990   0.4000872612   2.0078415875  -5.7119819946   2.3451931682   2.5704772812   1.7307228882   1.2979120790   2.3143429944  61.4647054074  20.6648444502  50.0000000000          44216
   0.8712786955   1.7255849675  -7.5176082562   2.2298534053   1.6989905655   1.9687027913   1.7894179695   2.3965366123   2.5507839054   1.7101044482   1.5682954531   1.6887349897  43.7006511130  17.9887076896  25.0624898820          44233
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6073579554   1.6890425497   0.0019900163   0.0220965663  12.5625679817          44202
   1.9650382975   1.8037099721   2.3311777312   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890520864   0.0019924896   0.0221238538   6.2969846586          44269
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5707729203   1.7894477719   1.6073579554   1.6890425497   0.0019900778   0.0220972445   3.1563622859          44238
   1.9650382975   1.8037099721   2.3311777312   2.2274024622   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6866011433   0.0019941375   0.0221420338   1.5821259571          44199
   1.9650382975   1.8037099721   2.3311681945   2.2298534053   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6891295725   0.0019923867   0.0221227185   0.7930403158          44188
   1.9650382975   1.8037099721   2.3311681945   2.2298534053   1.6989905655   1.9689316731   1.7895419472   2.3866958849   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0020006721   0.0222141267   0.3975112978          44244
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019900181   0.0220965852   0.1992524576          44260
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7894596928   2.3866946928   2.5704677445   1.7894489640   1.6073579554   1.6890520864   0.0019904480   0.0221013288   0.0998752540          44259
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019900181   0.0220965852   0.0500624509          44212
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3873050444   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019904471   0.0221013191   0.0250937934          44227
   1.9650382975   1.8037099721   2.3310787875   2.2283346789   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019907022   0.0221041337   0.0125782589          44247
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019900181   0.0220965852   0.0125782589          49922
   1.9650573710   1.8037099721   2.3341102799   2.2298534053   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0020075099   0.0222895601   0.0015841021          44196
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3873050444   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019904471   0.0221013191   0.0015841021          44213
   1.9650382975   1.8037099721   2.3310251433   2.2274024622   1.6989941418   1.9689316731   1.7895038002   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890747362   0.0019901235   0.0220977490   0.0007940308          49891
   1.9650382975   1.8037099721   2.3311681945   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3873050444   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019904413   0.0221012545   0.0003980078          49924
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3873050444   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0020000763   0.0222075533   0.0001995013          48967
   1.9650382975   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019925033   0.0221240047   0.0001000000          49587
