   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019953233   0.0221551160   0.1992524576              0
   1.9650371054   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948196   0.0221495599   1.5821259571              0
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6073579554   1.6890425497   0.0019924885   0.0221238410   0.0500624509              0
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6085786586   1.6890425497   0.0019873086   0.0220666920   0.0015841021              0
   1.9650382975   1.8037099721   2.3311777312   2.2274024622   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6085786586   1.6890425497   0.0019872955   0.0220665474   1.5821259571              0
