   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650382975   1.8037099721   2.3311681945   2.2292430537   1.6989905655   1.9689316731   1.7895419472   2.3863513700   2.5752742633   1.7891342514   1.6141862639   1.6841513922   0.0019984166   0.0221892427   0.0500624509              0
   1.9650389477   1.8037099721   2.3311681945   2.2292430537   1.6989911077   1.9689316731   1.7895419472   2.3863513700   2.5752742633   1.7891345813   1.6141862639   1.6841477076   0.0019984140   0.0221892144  50.0000000000              0
   1.9650382975   1.8037099721   2.3311681945   2.2292430537   1.6989905655   1.9689316731   1.7895419472   2.3863513700   2.5752742633   1.7891342514   1.6141862639   1.6841466239   0.0019984136   0.0221892096   0.0998752540              0
   1.9650371054   1.8037099721   2.3311681945   2.2292430537   1.6989905655   1.9689316731   1.7895419472   2.3863513700   2.5752742633   1.7891342514   1.6141862639   1.6841466239   0.0019984128   0.0221892016   0.0007940308              0
   1.9650371054   1.8037099721   2.3311681945   2.2292430537   1.6990179836   1.9689316731   1.7895419472   2.3863513700   2.5752742633   1.7891342514   1.6141862639   1.6841513922   0.0019983693   0.0221887207   0.0015841021              0
