   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]          Value        Fitness    Temperature     Generation
   2.0146520147   1.8925518926   1.9169719170   2.1123321123   2.0830280830   2.0293040293   1.9951159951   1.7167277167   2.1465201465   2.3809523810   1.9072039072   1.9218559219   0.0010557305   0.0117577311   0.0001000000         158247
   2.0195360195   1.9316239316   1.9853479853   2.0732600733   2.0048840049   2.0048840049   1.9706959707   1.7264957265   2.2442002442   2.3809523810   1.8339438339   1.8876678877   0.0009558987   0.0106493169   0.0998752540         158207
   2.0048840049   1.9462759463   2.0341880342   2.0488400488   1.9560439560   2.0341880342   1.9902319902   1.6776556777   2.2539682540   2.3858363858   1.8388278388   1.8827838828   0.0009416569   0.0104911348   0.0001000000         164413
   2.0488400488   1.8827838828   1.8388278388   2.0683760684   2.1318681319   2.0879120879   1.9511599512   1.8339438339   2.1758241758   2.2881562882   1.9804639805   1.8241758242   0.0009096015   0.0101350456   0.0003980078         177747
   2.0963746074   1.8782284945   2.2160927025   2.0360889760   1.7221160192   2.0288789995   2.1206336576   1.4925558610   2.1258008327   2.4573290958   1.9581227003   1.7306515839   0.0008823917   0.0098327273   0.0001995013         181146
   2.0164636314   1.9348713307   2.0134195194   2.0571712970   1.9857725397   2.0062011032   2.0027213162   1.6693705571   2.1995078456   2.4363755586   1.8646298505   1.9025961446   0.0008403463   0.0093654705   0.0015841021         185778
   2.0069273621   1.9040418068   1.9862793614   2.0985761905   2.0216224012   2.0091385884   1.9964580408   1.7566370034   2.2081585950   2.3263777693   1.8313143988   1.9063908149   0.0008313314   0.0092652708   0.0003980078         186444
   2.0244200244   1.9023199023   1.9365079365   2.0830280830   2.0634920635   2.0586080586   1.9609279609   1.8339438339   2.1855921856   2.2442002442   1.9267399267   1.8534798535   0.0007356470   0.0082013833   0.0001000000         182681
   2.0979186669   1.9054073395   1.6650898349   2.2516168189   2.2662099732   2.1240305870   2.0543017427   1.1249278252   2.2457366021   3.1309936910   2.2125725066   1.5246059516   0.0005092705   0.0056817576   0.0001000000         188228
   2.0097680098   1.8730158730   2.0146520147   2.1025641026   2.0000000000   2.0439560440   1.9462759463   2.0390720391   2.1465201465   2.0048840049   1.8681318681   1.9609279609   0.0004015010   0.0044809661   0.0001000000         196660
