   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]          Value        Fitness    Temperature     Generation
   2.3131413646  -8.6918079073   4.6174630295   2.1609206296   2.1662290195   5.6862721256  -0.2578431522   4.5100721425  -7.9217337323   6.3855240575   9.4955444035  -2.1009595454  28.0278319646  14.8606509497  50.0000000000         482331
   0.6519073636  -2.5600452757   4.4588109528   6.3062462989   0.2234608068  -6.0202703488  -4.0554317269   0.0075727706   4.5005163253  -5.6249270216  -5.2674123804  -5.4312786717 184.1028685466  30.8779358052  25.0624898820         482292
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   6.2969846586         482333
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0003980078         482312
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0003980078         499965
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0003980078         482314
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003719330   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.3975112978         482336
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.3975112978         482280
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.1992524576         482243
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003719330   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0998752540         482302
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.0500624509         499979
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0250937934         482233
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003719330   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0125782589         482264
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.0063048497         482334
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.0031603046         482274
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.0015841021         482332
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003767014   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000145   0.0007940308         499978
   1.9998593330   2.0003135205   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003719330   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0003980078         499792
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003707409   1.9997782707   1.9997401237   1.9998068809   0.0000000013   0.0000000144   0.0001995013         499671
   1.9998593330   2.0003123284   2.0003325939   1.9997973442   1.9997937679   1.9997878075   1.9998474121   2.0003349781   2.0003731251   1.9997782707   1.9997401237   1.9998021126   0.0000000013   0.0000000144   0.0001000000         499929
