   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019942585   0.0221433691   0.0015841021              0
   1.9650371054   1.8038625600   2.3311777312   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019941921   0.0221426362   0.0015841021              0
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6843039801   0.0019939079   0.0221395004   0.0003980078              0
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019938905   0.0221393092   0.0998752540              0
   1.9650371054   1.8038625600   2.3299570280   2.2274119990   1.6989989101   1.9689316731   1.7895419472   2.3854739896   2.5752742633   1.7894477719   1.6141862639   1.6841132453   0.0019938241   0.0221385763   0.7930403158              0
