   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890425497   0.0019900181   0.0220965852   0.0125782589              0
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6073579554   1.6890425497   0.0019900163   0.0220965663  50.0000000000              0
   1.9650382975   1.8037099721   2.3310251433   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6890520864   0.0019900046   0.0220964366   0.0007940308              0
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6891295725   0.0019899825   0.0220961924   0.0015841021              0
   1.9650382975   1.8037099721   2.3311777312   2.2274024622   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894477719   1.6073579554   1.6891295725   0.0019899693   0.0220960478   0.0001995013              0
