   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   9.3655311683  -9.3687831979  -7.3967407582  -2.7278633552   1.6960913954  -3.0764885590   7.4388883972  -0.0971430598   1.0101694471   8.1898473614  -1.0654587189  -1.9542427036  84.0408672433  23.3280278271  50.0000000000          41672
   9.6213543189   5.0038763883  -7.4437998202   3.7850566974  -2.7203138304   2.1125812598   1.8475205807   0.6764513657   4.1182347607   1.6349608681   9.1036962929   0.5159539292  37.3634471603  16.8392646671  25.0624898820          41662
   1.9650382975   1.8037099721   2.3311777312   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019977291   0.0221816580  12.5625679817          41657
   4.7960039852   1.6474599628   7.3287366229   2.2273357050   6.6989920556   2.2765464948   1.6332919379  -8.8645254889   2.5777824269   1.7894501561  -3.4318586249   1.6890425497 119.8681454957  26.5921892888   6.2969846586          41645
   1.9894523614   0.2405995274   2.2969169794   1.5633876063   1.6599280631   1.9884533875  -8.2104586488   2.3854763738   2.6534755619  -8.2105528242   1.6867024712   1.6499800473 177.5218033572  30.4999078099   3.1563622859          41661
   2.2776146101   0.5537087055   2.4898691469   2.2274119990   1.6159839401   1.9689316731   1.7894656533   4.8854741386   2.5753505573   1.3207001281   1.6073388819   1.6878170781   1.6347433579   3.8212077518   1.5821259571          41578
   1.9650382975   1.8037099721   2.3311777312   2.2274024622   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019982514   0.0221874209   0.7930403158          41598
   1.9650371054   1.8037099721   2.3311681945   2.2298534053   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019977281   0.0221816473   0.3975112978          41604
   1.9650371054   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019953239   0.0221551227   0.1992524576          41676
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019953306   0.0221551975   0.0998752540          41562
   1.9650371054   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6073579554   1.6890425497   0.0019953313   0.0221552042   0.0500624509          41641
   1.9650371054   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6073579554   1.6890425497   0.0019900962   0.0220974473   0.0250937934          41669
   1.9650382975   1.8037099721   2.3311681945   2.2298438686   1.6989941418   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6085786586   1.6890425497   0.0019896941   0.0220930114   0.0125782589          41675
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948190   0.0221495532   0.0125782589          41613
   1.9650382975   1.8037099721   2.3311681945   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948206   0.0221495701   0.0015841021          41332
   1.9650382975   1.8037099721   2.3311681945   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948206   0.0221495701   0.0015841021          49787
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6085786586   1.6890425497   0.0019873086   0.0220666920   0.0007940308          49922
   1.9650371054   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948270   0.0221496414   0.0003980078          49847
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989905655   1.9689316731   1.7895419472   2.3866946928   2.5704677445   1.7894501561   1.6073579554   1.6890425497   0.0019901030   0.0220975221   0.0001995013          49832
   1.9650382975   1.8037099721   2.3311777312   2.2274119990   1.6989941418   1.9689316731   1.7895419472   2.3854739896   2.5753505573   1.7894501561   1.6085786586   1.6890425497   0.0019948190   0.0221495532   0.0001000000          49696
