   Parameter[0]   Parameter[1]   Parameter[2]   Parameter[3]   Parameter[4]   Parameter[5]   Parameter[6]   Parameter[7]   Parameter[8]   Parameter[9]   Parameter[10]   Parameter[11]        Value        Fitness    Temperature     Generation
   1.9650382975   1.8037099721   2.3310156066   2.2292430537   1.6989989101   1.9689316731   1.7886478775   2.3863513700   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019973770   0.0221777739   0.0001995013              0
   1.9650382975   1.8037099721   2.3310156066   2.2292430537   1.6989989101   1.9689316731   1.7886478775   2.3863513700   2.5752742633   1.7894477719   1.6141862639   1.6839606574   0.0019973020   0.0221769462   0.0125782589              0
   1.9650382975   1.8037099721   2.3310156066   2.2292430537   1.6989989101   1.9689316731   1.7886478775   2.3839099636   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019933366   0.0221331979   0.0001000000              0
   1.9650371054   1.8037099721   2.3310156066   2.2292430537   1.6989989101   1.9689316731   1.7886478775   2.3839099636   2.5752742633   1.7894477719   1.6141862639   1.6842658332   0.0019933360   0.0221331918   3.1563622859              0
   1.9650371054   1.8037099721   2.3310156066   2.2292430537   1.6989989101   1.9689316731   1.7886478775   2.3839099636   2.5752742633   1.7894477719   1.6140718230   1.6890425497   0.0019933173   0.0221329853   0.0001995013              0
